ITA,rot,trans
1   ,"Matrix([[1, 0, 0], [0, 1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"2 (0,0,1/2) 1/4,0,z ","Matrix([[-1, 0, 0], [0, -1, 0], [0, 0, 1]])","Matrix([[1/2], [0], [1/2]])"
"2 (0,1/2,0) 0,y,1/4 ","Matrix([[-1, 0, 0], [0, 1, 0], [0, 0, -1]])","Matrix([[0], [1/2], [1/2]])"
"2 (1/2,0,0) x,1/4,0 ","Matrix([[1, 0, 0], [0, -1, 0], [0, 0, -1]])","Matrix([[1/2], [1/2], [0]])"
"3+  x,x,x ","Matrix([[0, 0, 1], [1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"3+  -x+1/2,x,-x ","Matrix([[0, 0, 1], [-1, 0, 0], [0, -1, 0]])","Matrix([[1/2], [1/2], [0]])"
"3+  x+1/2,-x-1/2,-x ","Matrix([[0, 0, -1], [-1, 0, 0], [0, 1, 0]])","Matrix([[1/2], [0], [1/2]])"
"3+  -x,-x+1/2,x ","Matrix([[0, 0, -1], [1, 0, 0], [0, -1, 0]])","Matrix([[0], [1/2], [1/2]])"
"3-  x,x,x ","Matrix([[0, 1, 0], [0, 0, 1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"3- (-1/3,1/3,1/3) x+1/6,-x+1/6,-x ","Matrix([[0, -1, 0], [0, 0, 1], [-1, 0, 0]])","Matrix([[0], [1/2], [1/2]])"
"3- (1/3,1/3,-1/3) -x+1/3,-x+1/6,x ","Matrix([[0, 1, 0], [0, 0, -1], [-1, 0, 0]])","Matrix([[1/2], [1/2], [0]])"
"3- (1/3,-1/3,1/3) -x-1/6,x+1/3,-x ","Matrix([[0, -1, 0], [0, 0, -1], [1, 0, 0]])","Matrix([[1/2], [0], [1/2]])"
